RDMD_ID,Region,"Household ID","Family Size","Urban / Rural"
287,17,591100200200000868003,007,2
288,17,591100200200001768005,007,2
289,17,591100200200001460126,004,2
290,17,591100200200000420036,003,2
291,17,591003000000000810065,005,2
292,17,591003000000001630135,007,2
293,17,591003000000003430295,003,2
294,17,591003000000002330199,001,2
295,17,591003000000002880244,003,2
296,17,591003000000001368004,004,2
297,17,591003000000002190186,003,2
298,17,591003000000003570308,006,2
299,17,591003000000002740233,003,2
300,17,591003000000000070007,004,2
301,17,591003000000000940077,006,2
302,17,591003000000002050174,006,2
303,17,591003000000000678002,005,2
304,17,591003000000000240021,004,2
305,17,591003000000001770149,003,2
306,17,591003000000000530042,007,2
307,17,591003000000001080089,003,2
308,17,591003000000000150014,004,2
309,17,591003000000003020256,005,2
310,17,591003000000002610222,004,2
311,17,591003000000001500124,004,2
312,17,591003000000001910162,002,2
313,17,591003000000003168003,003,2
314,17,591003000000002478001,003,2
315,17,591003000000003300282,004,2
316,17,591002800000000858001,004,2
317,17,591002800000000990087,004,2
318,17,591002800000001410128,004,2
319,17,591002800000001970177,002,2
320,17,591002800000000570055,004,2
321,17,591002800000001550139,003,2
322,17,591002800000002250200,004,2
323,17,591002800000001130099,004,2
324,17,591002800000002818002,006,2
325,17,591002800000003370299,002,2
326,17,591002800000000230023,004,2
327,17,591002800000002950256,004,2
328,17,591002800000002530222,001,2
329,17,591002800000003230286,001,2
330,17,591002800000000430042,001,2
331,17,591002800000002110188,001,2
332,17,591002800000000290029,002,2
333,17,591001700000002290218,005,2
334,17,591001700000000230022,002,2
335,17,591001700000001340128,007,2
336,17,591001700000001060100,005,2
337,17,591001700000002020191,007,2
338,17,591001700000001610154,003,2
339,17,591001700000000660062,004,2
340,17,591001700000002830267,003,2
341,17,591001700000000390037,003,2
342,17,591001700000000800076,002,2
343,17,591001700000002420229,003,2
344,17,591001700000000940088,002,2
345,17,591001700000001480142,006,2
346,17,591001700000000520048,003,2
347,17,591001700000001880179,002,2
348,17,591001700000000240023,008,2
349,17,591001700000000070006,004,2
350,17,591001700000001748001,003,2
351,17,591001700000001200114,002,2
352,17,591001700000003230311,003,2
353,17,591001700000003100299,003,2
354,17,591001700000002970286,005,2
355,17,591001700000002560242,006,2
356,17,591001700000002690254,004,2
357,17,591001000100000480042,004,1
358,17,591001000100002700247,004,1
359,17,591001000100003448001,006,1
360,17,591001000100003250295,003,1
361,17,591001000100000300027,003,1
362,17,591001000100001770164,003,1
363,17,591001000100002150195,006,1
364,17,591001000100002880264,010,1
365,17,591001000100000850075,005,1
366,17,591001000100001410130,003,1
367,17,591001000100000290026,006,1
368,17,591001000100001960180,004,1
369,17,591001000100002510230,004,1
370,17,591001000100000090009,005,1
371,17,591001000100001220111,002,1
372,17,591001000100002330212,006,1
373,17,591001000100001040093,003,1
374,17,591001000100000070007,005,1
375,17,591001000100000670059,004,1
376,17,591000900200002390234,009,2
377,17,591000900200000280028,008,2
378,17,591000900200000070007,002,2
379,17,591000900200001828001,003,2
380,17,591000900200000870086,004,2
381,17,591000900200001440141,012,2
382,17,591000900200002580253,004,2
383,17,591000900200000690069,002,2
384,17,591000900200002960286,003,2
385,17,591000900200000030003,010,2
386,17,591000900200001250122,005,2
387,17,591000900200000500050,004,2
388,17,591000900200002770268,004,2
389,17,591000900200002010197,005,2
390,17,591000900200001060103,004,2
391,17,591000900200001630160,005,2
392,16,020302800000000620072,002,1
393,16,020302800000001730192,004,1
394,16,020302800000001570173,003,1
395,16,020302800000000460056,005,1
396,16,020302800000001108001,006,1
397,16,020302800000001260140,007,1
398,16,020302800000000780089,005,1
399,16,020302800000000350041,007,1
400,16,020302800000000940105,005,1
401,16,020302800000001420157,003,1
402,16,020302800000000298002,004,1
403,17,591000800100000460041,004,2
404,17,591000800100000960084,005,2
405,17,591000800100002220199,002,2
406,17,591000800100001720153,004,2
407,17,591000800100002460220,005,2
408,17,591000800100000440039,002,2
409,17,591000800100001968002,001,2
410,17,591000800100000680058,004,2
411,17,591000800100000708001,004,2
412,17,591000800100001460129,004,2
413,17,591000100000000070007,002,2
414,17,591000100000001370130,005,2
415,17,591000100000000670063,001,2
416,17,591000100000000230022,003,2
417,17,591000100000001090103,004,2
418,17,591000100000000150015,008,2
419,17,591000100000000380035,006,2
420,17,591000100000000530049,006,2
421,17,591000100000001230116,004,2
422,17,591000100000000950089,002,2
423,17,590902500000004200377,004,2
424,17,590902500000003810338,006,2
425,17,590902500000001870166,001,2
426,17,590902500000004598001,001,2
427,17,590902500000003420301,005,2
428,17,590902500000001090098,007,2
429,17,590902500000000160016,004,2
430,17,590902500000000700066,003,2
431,17,590902500000002250199,003,2
432,17,590902500000000290027,001,2
433,17,590902500000003030268,004,2
434,17,590902500000002640234,006,2
435,17,590901500000000190019,003,2
436,17,590901500000001980188,006,2
437,17,590901500000000220022,006,2
438,17,590901500000000530052,002,2
439,17,590901500000001110106,003,2
440,17,590901500000000820078,003,2
441,17,590901500000001690159,002,2
442,17,590901500000000500049,004,2
443,17,590901500000001400131,002,2
444,17,590901000300101710160,006,1
445,17,590901000300100460042,005,1
446,17,590901000300100150015,003,1
447,17,590901000300101990186,001,1
448,17,590901000300100740067,005,1
449,17,590901000300100880082,003,1
450,17,590901000300101430131,001,1
451,17,590901000300101290118,001,1
452,17,590901000300100070007,002,1
453,17,590901000300100600056,002,1
454,17,590901000300101850175,007,1
455,17,590901000300100320130,003,1
456,17,590901000300101570144,003,1
457,17,590901000300101150107,004,1
458,17,590900600300100190018,002,2
459,17,590900600300101690164,005,2
460,17,590900600300101090106,003,2
461,17,590900600300101840179,002,2
462,17,590900600300100940091,001,2
463,17,590900600300100490046,006,2
