RDMD_ID,Region,"Household ID","H5 - Reported incident to authority","I4 - Type of construction materials of the floor","I7 - Presence electricity in the building/house"
493,17,590700800000001720153," ",1,1
494,17,590700800000000440039," ",4,1
495,17,590700800000000600054," ",1,1
496,17,590700800000002480221," ",5,1
497,17,590700800000000020002," ",1,1
498,17,590700800000003050275," ",1,1
499,17,590700800000000400036," ",4,1
500,17,590700800000002290204," ",1,1
501,17,590700800000002100186," ",1,1
502,17,590700800000001360120," ",1,1
503,17,590700800000000790068," ",1,1
504,17,590700800000002670240," ",1,1
505,17,590700800000000190017," ",1,1
506,17,590700800000000980084," ",1,1
507,17,590700800000001918002," ",1,1
508,17,590700800000001540137," ",1,1
509,17,590700500000000220021," ",1,1
510,17,590700500000003530316," ",1,1
511,17,590700500000000230022," ",1,1
512,17,590700500000002230199," ",1,1
513,17,590700500000000920085," ",1,1
514,17,590700500000001250114," ",1,1
515,17,590700500000003218001," ",1,1
516,17,590700500000001900170," ",1,1
517,17,590700500000001580142," ",1,1
518,17,590700500000000590055," ",1,1
519,17,590700500000003860349," ",1,1
520,17,590700500000002880257," ",1,1
521,17,590700400200000580056," ",1,1
522,17,590700400200000860081," ",1,1
523,17,590700400200001980177," ",1,1
524,17,590700400200000720068," ",1,1
525,17,590700400200001280117," ",1,1
526,17,590700400200000440042," ",1,1
527,17,590700400200000280027," ",1,1
528,17,590700400200001560139," ",4,1
529,17,590700400200001700152," ",1,1
530,17,590700400200001000094," ",1,2
531,17,590700400200001140104," ",1,1
532,17,590700400200001840165," ",1,1
533,17,590700400200000070007," ",1,1
534,17,590700400200001428001," ",1,1
535,17,590601000000000380036," ",1,1
536,17,590601000000000170015," ",1,1
537,17,590601000000001840169," ",1,1
538,17,590601000000001460134," ",2,1
539,17,590601000000002220199," ",1,1
540,17,590601000000000300028," ",2,1
541,17,590601000000000900080," ",1,1
542,17,590601000000002410216," ",1,1
543,17,590601000000000098001," ",1,1
544,17,590601000000001090099," ",1,1
545,17,590601000000001650152," ",1,1
546,17,590601000000002600234," ",1,1
547,17,590601000000000710062," ",1,1
548,17,590600800000000770066," ",1,1
549,17,590600800000000450041," ",1,1
550,17,590600800000000290027," ",1,1
551,17,590600800000000130012," ",1,1
552,17,590600500000000050004," ",5,1
553,17,590600500000000600056," ",1,1
554,17,590600500000000230021," ",1,1
555,17,590600500000000760072," ",1,1
556,17,590600500000000420039," ",1,1
557,17,590600500000000440041," ",1,1
558,17,590100800100000650059," ",1,1
559,17,590100800100002010191," ",5,2
560,17,590100800100000960090," ",1,1
561,17,590100800100000800074," ",5,2
562,17,590100800100001560148," ",1,1
563,17,590100800100000210020," ",1,1
564,17,590100800100000410038," ",1,1
565,17,590100800100000040004," ",1,1
566,17,590100800100000170017," ",1,1
567,17,590100800100000500047," ",1,1
568,17,590100800100001410134," ",1,1
569,17,590100300000003898004," ",1,1
570,17,590100300000000410041," ",1,1
571,17,590100300000001800167," ",1,1
572,17,590100300000002220206," ",1,1
573,17,590100300000002500234," ",5,2
574,17,590100300000001380126," ",1,1
575,17,590100300000001940178," ",4,1
576,17,590100300000002640248," ",1,1
577,17,590100300000003610338," ",1,1
578,17,590100300000003050287," ",1,1
579,17,590100300000002360220," ",5,1
580,17,590100300000000968001," ",1,1
581,17,590100300000003478002," ",1,1
582,17,590100300000000140014," ",1,1
583,17,590100300000001520140," ",1,1
584,17,590100300000003190301," ",1,1
585,17,590100300000004030375," ",1,1
586,17,590100300000001660154," ",1,1
587,17,590100300000000260026," ",1,1
588,17,590100300000002770260," ",1,1
589,17,590100300000002910273," ",1,1
590,17,590100300000000820074," ",1,1
591,17,590100300000003750350," ",1,1
592,17,590100300000000100010," ",1,1
593,17,590100300000003330315," ",1,1
594,17,590100300000000558003," ",4,1
595,17,532400800100000390037," ",5,1
596,17,532400800100001340113," ",1,2
597,17,532400800100000770064," ",4,1
598,17,532400800100000010001," ",1,1
599,17,532400800100001720151," ",1,1
600,17,532400800100000960080," ",4,1
