RDMD_ID,Region,"Household ID","J1 - Family's main source of water supply","WS1 - Family's main source of drinking water","WS2 - Family's main source of water used for other purposes"
219,16,030601200200000820082,01,72,11
220,16,030601200200002800280,05,72,32
221,16,030601200200002268001,01,72,11
222,16,030601200200001540154,02,11,"  "
223,16,030601200200002440244,01,72,11
224,16,030601200200000460046,05,72,31
225,16,030601200200001000100,05,72,31
226,16,030601200200002080208,01,72,11
227,16,030601200200000100010,05,72,31
228,16,030601200200002620262,02,72,12
229,16,030601200200001360136,05,13,"  "
230,16,030601200200000150015,05,72,31
231,16,030601200200000640064,10,72,13
232,17,591500900000002010167,01,72,11
233,17,591500900000000490040,04,72,21
234,17,591500900000002390201,04,13,"  "
235,17,591500900000000870072,01,72,11
236,17,591500900000000280021,04,13,"  "
237,17,591500900000000680057,04,21,"  "
238,17,591500900000001250101,01,72,11
239,17,591500900000003720322,04,21,"  "
240,17,591500900000001820152,04,31,"  "
241,17,591500900000002770237,01,72,11
242,17,591500900000001630133,05,72,31
243,17,591500900000003150269,01,72,11
244,17,591500900000002200183,02,72,12
245,17,591500900000002960250,04,72,21
246,17,591500900000001060084,01,11,"  "
247,17,591500900000000410033,04,72,21
248,17,591500900000003340287,03,72,14
249,17,591200100000000948002,04,11,"  "
250,17,591200100000001900171,04,72,31
251,17,591200100000003170291,01,72,11
252,17,591200100000000290026,01,72,11
253,17,591200100000002698003,04,72,11
254,17,591200100000000780071,04,31,"  "
255,17,591200100000000620056,01,11,"  "
256,17,591200100000002370216,01,72,11
257,17,591200100000001100101,04,31,"  "
258,17,591200100000001268001,04,72,11
259,17,591200100000002530231,04,41,"  "
260,17,591200100000002060186,04,31,"  "
261,17,591200100000000460042,04,31,"  "
262,17,591200100000001740156,01,72,11
263,17,591200100000000110010,08,31,"  "
264,17,591200100000002210200,04,72,31
265,17,591200100000002850261,01,72,12
266,17,591200100000003010275,01,72,11
267,17,591200100000001420129,01,72,11
268,17,591200100000001580143,01,72,11
269,17,591101700200001480106,01,72,11
270,17,591101700200001180082,01,72,11
271,17,591101700200000118001,01,72,11
272,17,591101700200000880062,01,72,11
273,17,591101700200001030071,01,72,11
274,17,591101700200000870119,01,72,11
275,17,591101700200000450032,01,72,11
276,17,591100200200001010088,01,72,11
277,17,591100200200000560048,01,21,"  "
278,17,591100200200001160100,01,11,"  "
279,17,591100200200002068002,01,11,"  "
280,17,591100200200000428006,04,21,"  "
281,17,591100200200000710061,01,41,"  "
282,17,591100200200002210186,07,42,"  "
283,17,591100200200000300024,04,72,21
284,17,591100200200000138001,01,72,11
285,17,591100200200000230017,01,72,11
286,17,591100200200001918004,04,72,21
287,17,591100200200000868003,01,21,"  "
288,17,591100200200001768005,01,72,11
289,17,591100200200001460126,07,42,"  "
290,17,591100200200000420036,04,21,"  "
291,17,591003000000000810065,01,11,"  "
292,17,591003000000001630135,01,11,"  "
293,17,591003000000003430295,01,72,11
294,17,591003000000002330199,01,11,"  "
295,17,591003000000002880244,01,72,11
296,17,591003000000001368004,01,31,"  "
297,17,591003000000002190186,01,11,"  "
298,17,591003000000003570308,01,41,"  "
299,17,591003000000002740233,01,72,11
300,17,591003000000000070007,01,11,"  "
301,17,591003000000000940077,01,31,"  "
302,17,591003000000002050174,01,72,11
303,17,591003000000000678002,01,72,11
304,17,591003000000000240021,01,72,11
305,17,591003000000001770149,01,31,"  "
306,17,591003000000000530042,01,31,"  "
307,17,591003000000001080089,01,72,11
308,17,591003000000000150014,01,72,11
309,17,591003000000003020256,01,72,11
310,17,591003000000002610222,01,72,11
311,17,591003000000001500124,01,11,"  "
312,17,591003000000001910162,01,31,"  "
313,17,591003000000003168003,01,72,11
314,17,591003000000002478001,01,72,11
315,17,591003000000003300282,01,72,11
316,17,591002800000000858001,01,11,"  "
317,17,591002800000000990087,01,11,"  "
318,17,591002800000001410128,01,11,"  "
319,17,591002800000001970177,01,72,11
320,17,591002800000000570055,01,11,"  "
321,17,591002800000001550139,01,11,"  "
322,17,591002800000002250200,01,11,"  "
323,17,591002800000001130099,01,11,"  "
324,17,591002800000002818002,01,11,"  "
325,17,591002800000003370299,01,11,"  "
326,17,591002800000000230023,01,11,"  "
327,17,591002800000002950256,01,11,"  "
328,17,591002800000002530222,01,11,"  "
329,17,591002800000003230286,01,11,"  "
330,17,591002800000000430042,01,11,"  "
331,17,591002800000002110188,01,72,11
332,17,591002800000000290029,01,11,"  "
333,17,591001700000002290218,01,11,"  "
334,17,591001700000000230022,01,42,"  "
335,17,591001700000001340128,04,72,21
336,17,591001700000001060100,03,13,"  "
337,17,591001700000002020191,01,11,"  "
338,17,591001700000001610154,01,11,"  "
339,17,591001700000000660062,01,11,"  "
340,17,591001700000002830267,03,14,"  "
341,17,591001700000000390037,01,11,"  "
342,17,591001700000000800076,04,72,12
343,17,591001700000002420229,01,11,"  "
344,17,591001700000000940088,06,41,"  "
345,17,591001700000001480142,04,12,"  "
346,17,591001700000000520048,01,12,"  "
347,17,591001700000001880179,01,11,"  "
348,17,591001700000000240023,01,11,"  "
349,17,591001700000000070006,01,11,"  "
350,17,591001700000001748001,01,72,11
351,17,591001700000001200114,04,14,"  "
352,17,591001700000003230311,05,31,"  "
353,17,591001700000003100299,02,12,"  "
354,17,591001700000002970286,07,31,"  "
355,17,591001700000002560242,02,41,"  "
356,17,591001700000002690254,02,41,"  "
357,17,591001000100000480042,04,31,"  "
358,17,591001000100002700247,04,31,"  "
359,17,591001000100003448001,05,72,32
360,17,591001000100003250295,05,42,"  "
361,17,591001000100000300027,04,31,"  "
362,17,591001000100001770164,01,11,"  "
363,17,591001000100002150195,01,72,11
364,17,591001000100002880264,04,72,31
365,17,591001000100000850075,04,81,"  "
366,17,591001000100001410130,08,81,"  "
367,17,591001000100000290026,05,32,"  "
368,17,591001000100001960180,01,11,"  "
369,17,591001000100002510230,03,72,14
370,17,591001000100000090009,04,31,"  "
371,17,591001000100001220111,08,81,"  "
372,17,591001000100002330212,05,32,"  "
373,17,591001000100001040093,05,32,"  "
374,17,591001000100000070007,04,31,"  "
375,17,591001000100000670059,04,31,"  "
376,17,591000900200002390234,04,31,"  "
377,17,591000900200000280028,02,12,"  "
378,17,591000900200000070007,01,11,"  "
379,17,591000900200001828001,01,72,11
380,17,591000900200000870086,01,72,11
381,17,591000900200001440141,02,12,"  "
382,17,591000900200002580253,04,31,"  "
383,17,591000900200000690069,01,72,11
384,17,591000900200002960286,01,72,11
385,17,591000900200000030003,01,72,11
386,17,591000900200001250122,01,72,11
387,17,591000900200000500050,03,72,14
388,17,591000900200002770268,01,72,11
389,17,591000900200002010197,01,72,11
390,17,591000900200001060103,01,11,"  "
